index,mean,Group
97,2113.30449069002,Chicken
98,2113.30449069002,Chicken
99,2113.30449069002,Chicken
100,2113.30449069002,Chicken
1,1622.05770248809,Pig
2,2081.30333509794,Pig
3,2339.30651138168,Pig
4,2512.3112758073,Pig
5,2639.01402858655,Pig
6,2737.24854420328,Pig
7,2816.26283748014,Pig
8,2882.54473266279,Pig
9,2938.98544203283,Pig
10,2987.39227104288,Pig
11,3030.01429327687,Pig
12,3067.0963472737,Pig
13,3100.24325039704,Pig
14,3129.50105876124,Pig
15,3155.78242456325,Pig
16,3179.50423504499,Pig
17,3200.86024351508,Pig
18,3220.23001588141,Pig
19,3238.09820010588,Pig
20,3254.52620434091,Pig
21,3269.86183165696,Pig
22,3283.71413446268,Pig
23,3296.51270513498,Pig
24,3309.00952885124,Pig
25,3320.25807305453,Pig
26,3330.72736897829,Pig
27,3340.13658020115,Pig
28,3348.96876654313,Pig
29,3356.98014822657,Pig
30,3364.51985177343,Pig
31,3371.27924827951,Pig
32,3377.56246691371,Pig
33,3383.34515616728,Pig
34,3388.72048703017,Pig
35,3394.10402329275,Pig
36,3399.14266807835,Pig
37,3404.06193753309,Pig
38,3408.98253043938,Pig
39,3414.06749602964,Pig
40,3418.89994706194,Pig
41,3423.95817893065,Pig
42,3428.9486500794,Pig
43,3434.20010587613,Pig
44,3439.50714663843,Pig
45,3444.63234515617,Pig
46,3449.89094759132,Pig
47,3455.21651667548,Pig
48,3460.4227104288,Pig
49,3465.65987294865,Pig
50,3470.61672842774,Pig
51,3475.71148755955,Pig
52,3480.37824245631,Pig
53,3485.01720487029,Pig
54,3489.61725780838,Pig
55,3493.84992059291,Pig
56,3497.86924298569,Pig
57,3501.88035997881,Pig
58,3505.63393329803,Pig
59,3509.05690841715,Pig
60,3512.23901535205,Pig
61,3515.41662255161,Pig
62,3518.06193753309,Pig
63,3520.6953414505,Pig
64,3523.21439915298,Pig
65,3525.33695076761,Pig
66,3527.34356802542,Pig
67,3529.24457384861,Pig
68,3530.9467972472,Pig
69,3532.37665431445,Pig
70,3533.69322392801,Pig
71,3534.94070937004,Pig
72,3535.99602964532,Pig
73,3537.02435150874,Pig
74,3537.94309158285,Pig
75,3538.67019587083,Pig
76,3539.35865537322,Pig
77,3540.01111699312,Pig
78,3540.54632080466,Pig
79,3540.99576495502,Pig
80,3541.40497617788,Pig
81,3541.79248279514,Pig
82,3542.09793541556,Pig
83,3542.38035997881,Pig
84,3542.63022763367,Pig
85,3542.84647961885,Pig
86,3542.99655902593,Pig
87,3543.20407623082,Pig
88,3543.30783483325,Pig
89,3543.42456326099,Pig
90,3543.53758602434,Pig
91,3543.60852302806,Pig
92,3543.70089994706,Pig
93,3543.7636315511,Pig
94,3543.82053996823,Pig
95,3543.85839068292,Pig
96,3543.89624139756,Pig
97,3543.93806246691,Pig
98,3543.95897300159,Pig
99,3543.98358920063,Pig
100,3544.00529380625,Pig
1,1479.64150943396,Ruminant
2,2104.26304106548,Ruminant
3,2528.45283018868,Ruminant
4,2853.4012208657,Ruminant
5,3118.75693673694,Ruminant
6,3342.66537180909,Ruminant
7,3537.54495005549,Ruminant
8,3709.06881243065,Ruminant
9,3861.68257491677,Ruminant
10,4001.53385127635,Ruminant
11,4127.71309655937,Ruminant
12,4244.64594894561,Ruminant
13,4352.21420643727,Ruminant
14,4452.40843507213,Ruminant
15,4544.85849056605,Ruminant
16,4632.48723640401,Ruminant
17,4713.82241953385,Ruminant
18,4790.90177580465,Ruminant
19,4864.07380688125,Ruminant
20,4933.06326304106,Ruminant
21,4998.90566037737,Ruminant
22,5062.03662597117,Ruminant
23,5121.37791342952,Ruminant
24,5177.04106548281,Ruminant
25,5230.73751387346,Ruminant
26,5280.66370699221,Ruminant
27,5327.7896781354,Ruminant
28,5372.05771365151,Ruminant
29,5412.76526082131,Ruminant
30,5450.7241953385,Ruminant
31,5486.8806881243,Ruminant
32,5521.46670366258,Ruminant
33,5554.5921198668,Ruminant
34,5586.19145394005,Ruminant
35,5618.01720310764,Ruminant
36,5648.49500554938,Ruminant
37,5680.49722530522,Ruminant
38,5712.25360710322,Ruminant
39,5744.83684794671,Ruminant
40,5778.80854605995,Ruminant
41,5812.68812430631,Ruminant
42,5847.42508324084,Ruminant
43,5883.13263041067,Ruminant
44,5919.81853496113,Ruminant
45,5956.32519422862,Ruminant
46,5993.60821309657,Ruminant
47,6030.19256381799,Ruminant
48,6066.85294117647,Ruminant
49,6103.62430632632,Ruminant
50,6139.98335183128,Ruminant
51,6174.80188679246,Ruminant
52,6207.92175360711,Ruminant
53,6242.03551609322,Ruminant
54,6273.95560488346,Ruminant
55,6303.39400665926,Ruminant
56,6333.07602663706,Ruminant
57,6361.50166481687,Ruminant
58,6387.26526082131,Ruminant
59,6412.17036625969,Ruminant
60,6434.46448390678,Ruminant
61,6456.22475027746,Ruminant
62,6475.77913429525,Ruminant
63,6494.36237513871,Ruminant
64,6511.40122086571,Ruminant
65,6527.08102108766,Ruminant
66,6541.08379578249,Ruminant
67,6554.10210876803,Ruminant
68,6566.12708102108,Ruminant
69,6576.71476137625,Ruminant
70,6586.26970033294,Ruminant
71,6594.85294117647,Ruminant
72,6602.67869034405,Ruminant
73,6609.66537180908,Ruminant
74,6615.85460599334,Ruminant
75,6621.43285238622,Ruminant
76,6626.26914539402,Ruminant
77,6630.36570477245,Ruminant
78,6634.37347391788,Ruminant
79,6637.79522752497,Ruminant
80,6640.83851276358,Ruminant
81,6643.27968923417,Ruminant
82,6645.42841287458,Ruminant
83,6647.74472807991,Ruminant
84,6649.39012208656,Ruminant
85,6650.85405105439,Ruminant
86,6652.115427303,Ruminant
87,6653.17314095451,Ruminant
88,6654.16093229744,Ruminant
89,6654.99167591564,Ruminant
90,6655.68146503887,Ruminant
91,6656.30688124307,Ruminant
92,6656.87902330743,Ruminant
93,6657.24750277469,Ruminant
94,6657.63651498334,Ruminant
95,6658.00832408436,Ruminant
96,6658.26359600444,Ruminant
97,6658.51775804662,Ruminant
98,6658.70976692563,Ruminant
99,6658.88734739177,Ruminant
100,6659.05882352942,Ruminant
