MDS1,MDS2,Source
-1.12837628532923,-0.469397499257451,Chicken
-1.28008734065939,-0.522969323820207,Chicken
-1.54859208008774,-0.530388696825601,Chicken
-1.29341286150967,-0.216005442986675,Chicken
-1.32141616307996,-0.186601146290204,Chicken
-1.4812531991407,-0.08094442486029,Chicken
-1.40070478416385,-0.123795764201055,Chicken
-1.09832157733891,-0.548394415078216,Chicken
-1.58798449873878,-0.044215923937902,Chicken
-1.69293788424196,-0.194378144740347,Chicken
-0.534814069778333,-1.05919227728802,Chicken
-1.53762075579338,-0.01256102379752,Chicken
-1.51951496345442,-0.739103692077695,Chicken
-1.54490181506471,-0.0291748600837909,Chicken
-1.22603747212453,-0.176724884927528,Chicken
-1.35990894755662,-0.136343078668195,Chicken
-1.64130676909094,-0.0148799291922298,Chicken
-1.47928864685884,-0.0471178574045311,Chicken
-1.58019581192785,0.0845422439128145,Chicken
-1.47998515651695,-0.00865380669340241,Chicken
-1.40722698606866,-0.0757407191692701,Chicken
-1.26843149760964,-0.393600308920782,Chicken
-1.09856222566261,-0.206741428426058,Chicken
-1.41615445088673,-0.175864854656785,Chicken
-1.23012720743895,-0.141609263900917,Chicken
-1.56416269320493,-0.0108130531263917,Chicken
-1.47917823246824,-0.0308640959839644,Chicken
-1.61759950337217,-0.506175427666749,Chicken
-1.38661231795511,-0.00442865907094992,Chicken
-1.42728113789428,-0.206505014989155,Chicken
-1.42458049702007,0.00324457008033801,Chicken
-1.29002401429359,-0.0889652130389004,Chicken
-1.5595489786121,-0.0444451271119023,Chicken
-1.47600327563896,0.0173616951872543,Chicken
-1.47406205909896,-0.164290386688046,Chicken
-1.02238833617747,-0.616333632196895,Chicken
-1.46017729574342,-0.51202438304518,Chicken
-1.29448668476037,-0.122095099993115,Chicken
-1.24081930858505,-0.126769307619752,Chicken
-0.62513508732542,-0.953672340160069,Chicken
-1.36781465109881,-0.19940168307617,Chicken
-0.948899368615455,-0.566631528650323,Chicken
-1.33845260459794,-0.135206048965332,Chicken
-1.14654708582858,-0.35262638085311,Chicken
-0.837353275112876,-0.712778401599271,Chicken
-1.09501521833017,-0.610237344903426,Chicken
-1.50783390160155,-0.344465763062547,Chicken
-1.03947077194684,-0.898977545287664,Chicken
-1.16970564046107,-0.180117967189587,Chicken
-1.42032271088528,-0.0993105561945836,Chicken
-1.36991503354518,-0.43768320921357,Chicken
-0.785531377014094,-0.663092209194955,Chicken
-1.10862925682557,-0.510519589891201,Chicken
-1.32815544219709,-0.179719421041748,Chicken
-1.35759824375318,-0.052814792403294,Chicken
-1.36093074649062,-0.125197514464975,Chicken
-1.37366870701362,-0.00543116431601629,Chicken
-1.18134293504874,-0.628682532385387,Chicken
-1.04687483399546,-0.615279138762495,Chicken
-1.05537100486061,-0.377338643096575,Chicken
-1.15610867107885,-0.428983296896791,Chicken
-1.39987873495201,0.0394104179731023,Chicken
-1.57343203304149,-0.00308923796435493,Chicken
-1.58166897636007,-0.106901682405554,Chicken
-1.33499244575485,-0.0179451402442248,Chicken
-1.17377851559675,-0.737663129526004,Chicken
-1.40918120610466,-0.315349863931129,Chicken
-1.39324133491093,-0.164310891408706,Chicken
-1.3160571060633,-0.241337972759843,Chicken
-1.4325916721468,-0.0299006439960016,Chicken
-1.27145635836213,-0.197621228869562,Chicken
-1.37760637514673,-0.150864084360293,Chicken
-1.33143398392139,-0.463141338098158,Chicken
-0.989001802746139,-0.808683324769818,Chicken
-0.744524474332377,-1.03954200143881,Chicken
-1.51824408371176,0.0355937634677725,Chicken
-1.50067541319119,0.00647029217618284,Chicken
-1.13792980986384,-0.146957491086399,Chicken
-1.47914162247817,0.059647938674933,Chicken
-1.47341492005047,-0.0263062770192004,Chicken
-1.42069329352945,-0.0959370348462347,Chicken
-1.27011580735168,-0.0874095915807562,Chicken
-1.44964617068807,0.0321517655268828,Chicken
-1.31175692057229,-0.0882446485266179,Chicken
-1.21233498998168,-0.173184919557633,Chicken
-1.4660059821561,-0.0368090573017602,Chicken
-1.27317824157467,-0.265809709605491,Chicken
