Species	Category	Rate
Chick	Phage	0.02746
Chick	Phage	0.00633
Chick	Phage	0.03524
Chick	Phage	0.00319
Chick	Phage	0.00524
Chick	Phage	0.00527
Chick	Phage	0.00175
Chick	Phage	0.02597
Chick	Phage	0.02266
Chick	Phage	0.01161
Chick	Phage	0.04088
Chick	Phage	0.03552
Chick	Phage	0.03511
Chick	Phage	0.04934
Chick	Phage	0.01938
Chick	Phage	0.03913
Chick	Phage	0.03229
Chick	Phage	0.03265
Chick	Phage	0.02904
Chick	Phage	0.02093
Chick	Phage	0.01693
Chick	Phage	0.02991
Chick	Phage	0.0421
Chick	Phage	0.0247
Chick	Phage	0.02472
Chick	Phage	0.0251
Chick	Phage	0.10456
Chick	Phage	0.01537
Chick	Phage	0.02439
Chick	Phage	0.05122
Chick	Phage	0.02794
Chick	Phage	0.01907
Chick	Phage	0.31713
Chick	Phage	0.02765
Chick	Phage	0.04442
Chick	Phage	0.02799
Chick	Phage	0.03265
Chick	Phage	0.0258
Chick	Phage	0.02624
Chick	Phage	0.01629
Chick	Phage	0.04479
Chick	Phage	0.01506
Chick	Phage	0.01651
Chick	Phage	0.01421
Chick	Phage	0.02233
Chick	Phage	0.01842
Chick	Phage	0.01782
Chick	Phage	0.09818
Chick	Phage	0.01311
Chick	Phage	0.03828
Chick	Phage	0.02031
Chick	Phage	0.03991
Chick	Phage	0.02177
Chick	Phage	0.04634
Chick	Phage	0.02257
Chick	Phage	0.03509
Chick	Phage	0.03105
Chick	Phage	0.01392
Chick	Phage	0.01408
Chick	Phage	0.02689
Chick	Phage	0.02325
Chick	Phage	0.04559
Chick	Phage	0.02709
Chick	Phage	0.05657
Chick	Phage	0.04568
Chick	Phage	0.02072
Chick	Phage	0.03969
Chick	Phage	0.01891
Chick	Phage	0.02654
Chick	Phage	0.0276
Chick	Phage	0.0564
Chick	Phage	0.0343
Chick	Phage	0.01908
Chick	Phage	0.03087
Chick	Phage	0.04761
Chick	Phage	0.02533
Chick	Phage	0.03342
Chick	Phage	0.02757
Chick	Phage	0.02693
Chick	Phage	0.02798
Chick	Phage	0.25418
Chick	Phage	0.02539
Chick	Phage	0.03151
Chick	Phage	0.02444
Chick	Phage	0.03697
Chick	Phage	0.44195
Chick	Phage	0.02748
Chick	Phage	0.03275
Chick	Phage	0.01713
Chick	Phage	0.01352
Chick	Phage	0.03466
Chick	Phage	0.07134
Chick	Phage	0.01607
Chick	Phage	0.02751
Chick	Phage	0.01877
Chick	Phage	0.03418
Chick	Phage	0.03788
Chick	Phage	0.04388
Chick	Phage	0.01346
Chick	Phage	0.01815
Chick	Phage	0.03563
Chick	Phage	0.20407
Chick	Phage	0.05996
Chick	Phage	0.01083
Chick	Phage	0.02069
Chick	Phage	0.02267
Chick	Phage	0.0204
Chick	Phage	0.01195
Chick	Phage	0.05372
Chick	Phage	0.01274
Chick	Phage	0.02231
Chick	Phage	0.0852
Chick	Phage	0.05006
Chick	Phage	0.0176
Chick	Phage	0.02256
Chick	Phage	0.03513
Chick	Phage	0.03538
Chick	Phage	0.02619
Chick	Phage	0.05093
Chick	Phage	0.04235
Chick	Phage	0.05366
Chick	Phage	0.02582
Chick	Phage	0.04591
Chick	Phage	0.02424
Chick	Phage	0.02984
Chick	Phage	0.09634
Chick	Phage	0.02001
Chick	Phage	0.03863
Chick	Phage	0.00405
Chick	Phage	0.0242
Chick	Phage	0.00997
Chick	Phage	0.02842
Chick	Phage	0.01544
Chick	Phage	0.04486
Chick	Phage	0.11911
Chick	Phage	0.01792
Chick	Phage	0.03306
Chick	Phage	0.00309
Chick	Phage	0.12403
Chick	Phage	0.03193
Chick	Phage	0.02458
Chick	Phage	0.04956
Chick	Phage	0.02637
Chick	Phage	0.07002
Chick	Phage	0.03745
Chick	Phage	0.06993
Chick	Phage	0.0332
Chick	Phage	0.02692
Chick	Phage	0.0281
Chick	Phage	0.04837
Chick	Phage	0.02271
Chick	Phage	0.02033
Chick	Phage	0.02036
Chick	Phage	0.03726
Chick	Phage	0.01367
Chick	Phage	0.03796
Chick	Phage	0.02141
Chick	Phage	0.01125
Chick	Phage	0.03046
Chick	Phage	0.00636
Chick	Phage	0.0039
Chick	Phage	0.0358
Chick	Phage	0.09454
Chick	Phage	0.06566
Chick	Phage	0.01704
Chick	Phage	0.02435
Chick	Phage	0.01648
Chick	Phage	0.03809
Chick	Phage	0.028
Chick	Phage	0.01653
Chick	Phage	0.04506
Chick	Phage	0.05853
Chick	Phage	0.01961
Chick	Phage	0.03015
Chick	Phage	0.0577
Chick	Phage	0.03149
Chick	Phage	0.03464
Chick	Phage	0.01699
Chick	Phage	0.0378
Chick	Phage	0.3521
Chick	Phage	0.04972
Chick	Phage	0.06376
Chick	Phage	0.02911
Chick	Phage	0.02874
Chick	Phage	0.39586
Chick	Phage	0.05167
Chick	Phage	0.06415
Chick	Phage	0.03303
Chick	Phage	0.02414
Chick	Phage	0.03908
Chick	Phage	0.01318
Chick	Phage	0.02223
Chick	Phage	0.02726
Chick	Phage	0.01973
Chick	Phage	0.02129
Chick	Phage	0.02212
Chick	Phage	0.01675
Chick	Phage	0.02131
Chick	Phage	0.0113
Chick	Phage	0.03052
Chick	Phage	0.01991
Chick	Phage	0.01618
Chick	Phage	0.02192
Chick	Phage	0.05784
Chick	Phage	0.03476
Chick	Phage	0.03084
Chick	Phage	0.03238
Chick	Phage	0.01605
Chick	Phage	0.0292
Chick	Phage	0.03247
Chick	Phage	0.02804
Chick	Phage	0.04959
Chick	Phage	0.03578
Chick	Phage	0.0284
Chick	Phage	0.0464
Chick	Phage	0.03313
Chick	Phage	0.01517
Chick	Phage	0.02519
Chick	Phage	0.04611
Chick	Phage	0.0521
Chick	Phage	0.01805
Chick	Phage	0.0064
Chick	Phage	0.03233
Chick	Phage	0.04922
Chick	Phage	0.08912
Chick	Phage	0.02393
Chick	Phage	0.00344
Chick	Phage	0.00069
Chick	Phage	0.05581
Chick	Phage	0.054
Chick	Phage	0.03546
Chick	Phage	0.04069
Chick	Phage	0.06641
Chick	Phage	0.02019
Chick	Phage	0.00046
Chick	Phage	0.00266
Chick	Phage	0.00927
Chick	Phage	0.01956
Chick	Phage	0.022
Chick	Phage	0.024
Chick	Phage	0.04025
Chick	Phage	0.0134
Chick	Phage	0.03541
Chick	Phage	0.02168
Chick	Phage	0.05132
Chick	Phage	0.056
Chick	Phage	0.02407
Chick	Phage	0.02217
Chick	Phage	0.03161
Chick	Phage	0.0348
Chick	Phage	0.0254
Chick	Phage	0.0143
Chick	Phage	0.02166
Chick	Phage	0.01927
Chick	Phage	0.02996
Chick	Phage	0.05816
Chick	Phage	0.05043
Chick	Phage	0.0782
Chick	Phage	0.08693
Chick	Phage	0.01714
Chick	Phage	0.02608
Chick	Phage	0.03755
Chick	Phage	0.02298
Chick	Phage	0.03579
Chick	Phage	0.01805
Chick	Phage	0.03701
Chick	Phage	0.04683
Chick	Phage	0.0547
Chick	Phage	0.11892
Chick	Phage	0.04547
Chick	Phage	0.05405
Chick	Phage	0.07631
Chick	Phage	0.01616
Chick	Phage	0.01692
Chick	Phage	0.01589
Chick	Phage	0.05122
Chick	Phage	0.022
Chick	Phage	0.02444
Chick	Phage	0.03365
Chick	Phage	0.01847
