otu,otu_occ,otu_rel,fill,Group,Group2
chick_phage_494,0.169769989,1.17E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4021,0.463307777,5.17E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_960,0.065717415,6.84E-06,no,Chicken,Chicken-no
chick_phage_2537,0.372398686,4.86E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_3459,0.243154436,4.11E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1130,0.08871851,8.15E-06,no,Chicken,Chicken-no
chick_phage_495,0.496166484,0.000494029,Compartments,Chicken,Chicken-Compartments
chick_phage_2852,0.271631982,2.93E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_534,0.212486309,7.84E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_476,0.134720701,1.37E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3850,0.246440307,1.19E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1919,0.105147864,2.09E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_978,0.236582694,2.91E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_496,0.184008762,3.88E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_455,0.228915663,0.000118031,Compartments,Chicken,Chicken-Compartments
chick_phage_1554,0.248630887,1.82E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_497,0.198247536,1.87E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_842,0.164293538,4.03E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2550,0.028477547,4.32E-06,no,Chicken,Chicken-no
chick_phage_3230,0.204819277,6.17E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1641,0.185104053,4.27E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_886,0.13253012,1.01E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4308,0.622124863,7.56E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3341,0.141292442,8.24E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_946,0.274917853,7.56E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2623,0.681270537,4.99E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_669,0.605695509,0.000131967,Compartments,Chicken,Chicken-Compartments
chick_phage_409,0.355969332,0.000148537,Compartments,Chicken,Chicken-Compartments
chick_phage_498,0.17196057,5.47E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_518,0.209200438,3.62E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1141,0.08543264,4.86E-06,no,Chicken,Chicken-no
chick_phage_3094,0.467688938,2.36E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_889,0.644030668,0.00030579,Compartments,Chicken,Chicken-Compartments
chick_phage_2292,0.269441402,6.53E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_622,0.090909091,2.37E-05,no,Chicken,Chicken-no
chick_phage_3006,0.843373494,0.000219096,Compartments,Chicken,Chicken-Compartments
chick_phage_2742,0.3033954,1.75E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4064,0.157721796,6.86E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_113,0.082146769,1.57E-05,no,Chicken,Chicken-no
chick_phage_500,0.116100767,8.79E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_5395,0.845564074,0.000224066,Compartments,Chicken,Chicken-Compartments
chick_phage_2418,0.718510405,0.000214083,Compartments,Chicken,Chicken-Compartments
chick_phage_693,0.039430449,1.42E-06,no,Chicken,Chicken-no
chick_phage_2864,0.394304491,3.20E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4399,0.238773275,3.97E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_4063,0.754654984,6.87E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_502,0.115005476,9.38E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_2271,0.180722892,5.17E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_335,0.119386637,5.16E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2556,0.201533406,3.57E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_1508,0.182913472,0.000224857,Compartments,Chicken,Chicken-Compartments
chick_phage_731,0.123767798,8.71E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_237,0.012048193,4.50E-06,no,Chicken,Chicken-no
chick_phage_1156,0.186199343,5.94E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1553,0.220153341,2.27E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2507,0.456736035,0.000165729,Compartments,Chicken,Chicken-Compartments
chick_phage_4078,0.421686747,9.48E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3598,0.095290252,5.43E-06,no,Chicken,Chicken-no
chick_phage_420,0.615553122,2.70E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_425,0.410733844,6.32E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_2369,0.162102957,7.79E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_2561,0.285870756,1.31E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_459,0.588170865,5.00E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3280,0.222343921,3.74E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5254,0.203723987,4.64E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1185,0.246440307,8.48E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_5000,0.552026287,9.00E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_515,0.157721796,5.72E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_1871,0.410733844,7.85E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_612,0.17415115,5.97E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1001,0.127053669,4.13E-06,Compartments,Chicken,Chicken-Compartments
chick_phage_1016,0.220153341,2.81E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_520,0.633077766,0.000169599,Compartments,Chicken,Chicken-Compartments
chick_phage_1695,0.451259584,0.000129966,Compartments,Chicken,Chicken-Compartments
chick_phage_5913,0.410733844,5.77E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_3550,0.208105148,7.67E-05,Compartments,Chicken,Chicken-Compartments
chick_phage_1120,0.240963855,0.00011133,Compartments,Chicken,Chicken-Compartments
chick_phage_844,0.063526835,3.00E-06,no,Chicken,Chicken-no
chick_phage_5804,0.148959474,0.000127117,Compartments,Chicken,Chicken-Compartments
chick_phage_521,0.067907996,1.14E-06,no,Chicken,Chicken-no
chick_phage_6272,0.008762322,2.66E-07,no,Chicken,Chicken-no
chick_phage_5217,0.143483023,1.45E-05,Compartments,Chicken,Chicken-Compartments
