index	VC	Species	Genomes
54	VC_3789	sum	77
55	VC_4752	sum	76
56	VC_1708	sum	76
57	VC_2103	sum	76
58	VC_4030	sum	76
59	VC_3669	sum	75
60	VC_612	sum	74
61	VC_3288	sum	74
62	VC_3718	sum	74
63	VC_2331	sum	73
64	VC_2801	sum	73
65	VC_1450	sum	73
66	VC_953	sum	73
67	VC_2478	sum	72
68	VC_2946	sum	72
69	VC_1767	sum	72
70	VC_4173	sum	72
71	VC_3782	sum	72
72	VC_2523	sum	71
73	VC_1738	sum	71
74	VC_613	sum	70
75	VC_2916	sum	70
76	VC_1872	sum	69
77	VC_3065	sum	69
78	VC_2463	sum	69
79	VC_2587	sum	68
80	VC_2033	sum	68
81	VC_327	sum	67
82	VC_330	sum	67
83	VC_3044	sum	67
84	VC_1754	sum	66
85	VC_983	sum	66
86	VC_1715	sum	65
87	VC_1444	sum	65
88	VC_667	sum	65
89	VC_3826	sum	65
90	VC_2999	sum	65
91	VC_1659	sum	64
92	VC_3343	sum	64
93	VC_4044	sum	64
94	VC_3593	sum	64
95	VC_3558	sum	64
96	VC_1838	sum	63
97	VC_4105	sum	63
98	VC_1276	sum	62
99	VC_2894	sum	62
100	VC_3635	sum	62
