Phage,Host,Source
3277.937635,2121.251732,Chicken
92163.5859,72734.80129,Chicken
44940.59586,22288.41649,Chicken
8241.906996,3801.317816,Chicken
1932.309266,1584.33943,Chicken
4822.444186,2382.643922,Chicken
8545.835201,2057.153437,Chicken
47092.46922,11584.93219,Chicken
64543.26387,10063.64699,Chicken
1343.455863,374.298388,Chicken
54347.91245,22675.29813,Chicken
97773.61518,119023.9045,Chicken
6036.869615,2493.665353,Chicken
17664.81523,8391.471162,Chicken
43546.84422,14336.55291,Chicken
25085.86964,14446.45746,Chicken
86641.765,50351.98658,Chicken
174970.871,106131.2839,Chicken
119492.6839,171654.9267,Chicken
138323.6926,69133.53181,Chicken
22129.14233,14094.17012,Chicken
23882.87159,29629.06872,Chicken
257858.6169,142034.2028,Chicken
38281.58497,7479.026575,Chicken
64191.534,35868.83604,Chicken
6039.18781,1826.637136,Chicken
29969.77979,8766.68472,Chicken
60225.3307,10614.91268,Chicken
18889.39352,42545.46231,Chicken
95707.455,123379.9841,Chicken
210.775459,52.415836,Chicken
380.552057,98.352909,Chicken
109413.9272,6228.90434,Chicken
6029.91697,2200.712467,Chicken
39619.58987,25195.31517,Chicken
12732.39687,2618.429283,Chicken
69240.90169,47194.83692,Chicken
137339.0625,126089.5611,Chicken
30561.44276,3701.159727,Chicken
53607.76485,32645.72497,Chicken
158354.5089,167445.7301,Chicken
4700.682619,1982.875176,Chicken
20828.77695,7537.008649,Chicken
13204.34995,5655.527938,Chicken
17964.82021,2460.297676,Chicken
253.885808,193.465363,Chicken
16905.76859,13083.69152,Chicken
855.498009,286.210916,Chicken
160.272546,70.770422,Chicken
46447.9,23470.29799,Chicken
39756.21555,5982.334189,Chicken
9432.367,25223.36457,Chicken
63155.16235,57805.10392,Chicken
36906.77,26033.6288,Chicken
48259.71,44837.16548,Chicken
543.722341,155.770884,Chicken
14961.7227,5178.499184,Chicken
4633.337877,1374.118397,Chicken
172754.1141,111992.182,Chicken
14227.79258,6698.268061,Chicken
2812.173647,1110.813968,Chicken
8860.513444,1455.668263,Chicken
5174.055792,3321.575238,Chicken
969.839288,258.397667,Chicken
285.906827,55.937732,Chicken
50845.22843,21938.7507,Chicken
33733.71251,3130.913438,Chicken
24455.93384,722.610215,Chicken
7726.045,3914.070849,Chicken
45418.46231,2659.560418,Chicken
187961.7956,112558.1436,Chicken
313638.3413,166860.9198,Chicken
48275.19026,16992.84333,Chicken
24596.17662,10539.95929,Chicken
179271.8051,146907.1063,Chicken
18380.59723,4546.477908,Chicken
32545.5652,10432.54735,Chicken
40709.66408,22645.7767,Chicken
1531.103849,827.784997,Chicken
17121.56258,10472.28509,Chicken
8253.012996,7478.45344,Chicken
25530.45039,7923.345133,Chicken
30912.26103,13028.63207,Chicken
2869.258028,892.426422,Chicken
4308.051424,633.962682,Chicken
9738.96404,3251.790506,Chicken
15821.77262,6011.544585,Chicken
3793.70891,794.976372,Chicken
237237.4866,251742.052,Chicken
5232.43412,1596.714041,Chicken
15921.30205,5100.873017,Chicken
1142.391877,218.728524,Chicken
28331.11259,23706.41492,Chicken
37976.03376,10825.29406,Chicken
7351.870083,1827.720774,Chicken
136535.3426,196207.6961,Chicken
48879.84871,3264.309185,Chicken
229776.1742,355115.912,Chicken
94543.35603,51272.60042,Chicken
185212.2613,145023.3703,Chicken
282154.9393,135349.7141,Chicken
221021.7696,166769.4298,Chicken
49145.11955,63879.29121,Chicken
320816.9454,212179.1432,Chicken
164979.0006,99941.62556,Chicken
76173.68453,15705.3657,Chicken
50129.70227,10218.78677,Chicken
60381.93174,33132.80337,Chicken
42563.94434,13475.51452,Chicken
301.499246,330.065119,Chicken
1460.43646,169.120936,Chicken
2370.10182,65.693841,Chicken
96350.16523,2840.217526,Chicken
13428.00466,6185.288766,Chicken
7598.83825,3160.097064,Chicken
7116.271651,2767.653938,Chicken
3584.043052,499.668062,Chicken
1832.75949,764.341805,Chicken
38280.32562,25701.4872,Chicken
249475.9667,304061.6438,Chicken
10069.81347,4551.028827,Chicken
50015.65081,26590.75202,Chicken
242013.18,250202.6653,Chicken
87777.0043,105161.2446,Chicken
912.18607,227.206629,Chicken
943.092,74.837437,Chicken
6590.388004,2536.191354,Chicken
702.415938,214.23609,Chicken
10569.26271,11445.73243,Chicken
4468.367172,909.263633,Chicken
14012.09965,3447.443146,Chicken
4869.288312,161.08573,Chicken
70700.74793,131.112322,Chicken
7324.312885,3809.639563,Chicken
2842.278359,1265.256835,Chicken
164916.7539,125266.9087,Chicken
150.675183,39.746099,Chicken
1487.455455,285.944766,Chicken
93205.73961,59485.82169,Chicken
109698.2085,145940.4048,Chicken
2608.104991,819.426742,Chicken
3332.962724,957.801632,Chicken
181882.6109,159111.183,Chicken
65941.20542,37704.84072,Chicken
61540.3327,75433.19776,Chicken
159179.4926,159288.9253,Chicken
103969.6225,39764.02082,Chicken
59454.49168,22757.67338,Chicken
412428.4992,371735.7934,Chicken
16583.41665,13616.4444,Chicken
126708.8351,84422.21219,Chicken
51865.4683,15725.8484,Chicken
8130.084758,3537.370804,Chicken
23045.92698,11272.96587,Chicken
53520.96426,9029.108503,Chicken
42729.40741,906.892719,Chicken
170519.2411,141796.5799,Chicken
12852.98445,5268.950913,Chicken
76446.90951,27194.11413,Chicken
181824.8955,145078.0802,Chicken
31708.66273,5103.650784,Chicken
102016.6964,46769.76725,Chicken
69647.02137,18510.61046,Chicken
80753.05025,21462.79556,Chicken
1954.953743,177.301859,Chicken
34047.49442,23705.27607,Chicken
30976.99514,835.197813,Chicken
102173.2365,92780.24555,Chicken
256470.1336,425954.6572,Chicken
22424.74958,4940.044385,Chicken
112041.6338,103522.0998,Chicken
7944.66262,1332.134467,Chicken
37899.49589,8200.701328,Chicken
29048.34173,4257.705639,Chicken
57953.45922,49149.29634,Chicken
129698.554,114423.7311,Chicken
4706.553,24440.3877,Chicken
76993.61034,137415.4896,Chicken
16273.3271,2296.211611,Chicken
122713.9586,118901.3333,Chicken
133132.3445,86204.1734,Chicken
51170.15845,2792.876238,Chicken
16393.4701,3673.677597,Chicken
13394.84158,449.608182,Chicken
52147.07213,2686.865476,Chicken
15245.812,24190.697,Chicken
17934.48292,338.191012,Chicken
2460.048534,607.584622,Chicken
7635.568193,3292.957239,Chicken
5070.711007,642.57425,Chicken
72863.58612,60180.08401,Chicken
16204.44364,6537.487056,Chicken
95880.25259,42541.86736,Chicken
49010.39254,8040.201378,Chicken
4031.475746,2078.709776,Chicken
5271.709627,1996.891362,Chicken
6387.068614,307.225977,Chicken
131985.2405,70306.42744,Chicken
59428.69737,33245.66878,Chicken
24475.81964,7113.931484,Chicken
44758.77529,4915.119225,Chicken
2586.95134,639.901812,Chicken
30455.51991,6175.192607,Chicken
244000.7795,189154.3413,Chicken
51849.96068,12723.1917,Chicken
15642.78346,2465.137186,Chicken
35338.75069,604.713151,Chicken
9706.201563,4259.55151,Chicken
32497.4725,25734.55775,Chicken
147152.3037,175113.3171,Chicken
29673.67045,11684.13209,Chicken
30534.61247,3882.171809,Chicken
15559.39863,6530.978973,Chicken
54308.80691,24234.59476,Chicken
88540.17389,22543.68123,Chicken
335026.5355,180824.2138,Chicken
50889.3853,10942.41036,Chicken
195088.7495,60792.2431,Chicken
49731.01313,35877.05074,Chicken
261905.1072,439273.976,Chicken
251138.3022,118311.8586,Chicken
32925.12913,7828.756781,Chicken
295945.459,212900.5194,Chicken
33465.18996,14311.86165,Chicken
10117.98119,4056.508128,Chicken
50842.58703,14630.07788,Chicken
56789.67745,65058.03921,Chicken
44868.31421,60602.02069,Chicken
144687.3137,46110.90052,Chicken
