newid	family
chick_phage_268	Mesyanzhinovviridae
chick_phage_270	Siphoviridae
chick_phage_271	Salasmaviridae
chick_phage_272	Salasmaviridae
chick_phage_273	Rountreeviridae
chick_phage_274	Salasmaviridae
chick_phage_275	Salasmaviridae
chick_phage_276	Salasmaviridae
chick_phage_277	Salasmaviridae
chick_phage_278	Rountreeviridae
chick_phage_279	Salasmaviridae
chick_phage_281	Rountreeviridae
chick_phage_282	Rountreeviridae
chick_phage_283	Salasmaviridae
chick_phage_284	Salasmaviridae
chick_phage_285	Salasmaviridae
chick_phage_286	Unknown
chick_phage_287	Siphoviridae
chick_phage_288	Salasmaviridae
chick_phage_289	Salasmaviridae
chick_phage_293	Rountreeviridae
chick_phage_294	Siphoviridae
chick_phage_295	Unknown
chick_phage_296	Siphoviridae
chick_phage_297	Rountreeviridae
chick_phage_298	Siphoviridae
chick_phage_299	Rountreeviridae
chick_phage_300	Siphoviridae
chick_phage_301	Podoviridae
chick_phage_302	Rountreeviridae
chick_phage_303	Rountreeviridae
chick_phage_304	Peduoviridae
chick_phage_305	Guelinviridae
chick_phage_306	Salasmaviridae
chick_phage_307	Siphoviridae
chick_phage_308	Rountreeviridae
chick_phage_309	Salasmaviridae
chick_phage_310	Salasmaviridae
chick_phage_311	Salasmaviridae
chick_phage_312	Autographiviridae
chick_phage_313	Salasmaviridae
chick_phage_314	Rountreeviridae
chick_phage_315	Salasmaviridae
chick_phage_316	Salasmaviridae
chick_phage_317	Salasmaviridae
chick_phage_318	Salasmaviridae
chick_phage_319	Autographiviridae
chick_phage_320	Orlajensenviridae
chick_phage_321	Salasmaviridae
chick_phage_322	Salasmaviridae
chick_phage_323	Salasmaviridae
chick_phage_324	Myoviridae
chick_phage_325	Podoviridae
chick_phage_326	Podoviridae
chick_phage_327	Unknown
chick_phage_328	Unknown
chick_phage_329	Salasmaviridae
chick_phage_330	Salasmaviridae
chick_phage_331	Podoviridae
chick_phage_332	Siphoviridae
chick_phage_333	Salasmaviridae
chick_phage_334	Salasmaviridae
chick_phage_335	Salasmaviridae
chick_phage_336	Orlajensenviridae
chick_phage_337	Salasmaviridae
chick_phage_338	Rountreeviridae
chick_phage_339	Guelinviridae
chick_phage_340	Rountreeviridae
chick_phage_341	Salasmaviridae
chick_phage_342	Guelinviridae
chick_phage_343	Siphoviridae
chick_phage_346	Salasmaviridae
chick_phage_347	Salasmaviridae
chick_phage_349	Salasmaviridae
chick_phage_351	Salasmaviridae
chick_phage_352	Mesyanzhinovviridae
chick_phage_353	Salasmaviridae
chick_phage_354	Myoviridae
chick_phage_355	Siphoviridae
chick_phage_356	Salasmaviridae
chick_phage_357	Mesyanzhinovviridae
chick_phage_358	Salasmaviridae
chick_phage_359	Siphoviridae
chick_phage_360	Myoviridae
chick_phage_361	Salasmaviridae
chick_phage_362	Casjensviridae
chick_phage_363	Myoviridae
chick_phage_364	Unknown
chick_phage_365	Myoviridae
chick_phage_366	Myoviridae
chick_phage_367	Myoviridae
chick_phage_368	Mesyanzhinovviridae
chick_phage_369	Myoviridae
chick_phage_370	Salasmaviridae
chick_phage_371	Myoviridae
chick_phage_372	Siphoviridae
chick_phage_374	Siphoviridae
chick_phage_375	Unknown
chick_phage_376	Mesyanzhinovviridae
chick_phage_377	Siphoviridae
chick_phage_378	Siphoviridae
chick_phage_379	Unknown
chick_phage_380	Rountreeviridae
chick_phage_381	Guelinviridae
chick_phage_382	Rountreeviridae
chick_phage_383	Straboviridae
chick_phage_384	Autographiviridae
chick_phage_385	Rountreeviridae
chick_phage_386	Salasmaviridae
chick_phage_387	Salasmaviridae
chick_phage_388	Podoviridae
chick_phage_389	Salasmaviridae
chick_phage_390	Salasmaviridae
chick_phage_391	Salasmaviridae
chick_phage_392	Guelinviridae
chick_phage_393	Rountreeviridae
chick_phage_394	Peduoviridae
chick_phage_395	Salasmaviridae
chick_phage_396	Salasmaviridae
chick_phage_397	Rountreeviridae
chick_phage_398	Salasmaviridae
chick_phage_399	Salasmaviridae
chick_phage_400	Salasmaviridae
chick_phage_401	Herelleviridae
chick_phage_402	Salasmaviridae
chick_phage_403	Salasmaviridae
chick_phage_404	Salasmaviridae
chick_phage_405	Rountreeviridae
chick_phage_406	Salasmaviridae
chick_phage_407	Salasmaviridae
chick_phage_408	Salasmaviridae
chick_phage_409	Siphoviridae
chick_phage_410	Salasmaviridae
chick_phage_411	Siphoviridae
chick_phage_412	Salasmaviridae
chick_phage_413	Salasmaviridae
chick_phage_414	Salasmaviridae
chick_phage_415	Salasmaviridae
chick_phage_416	Salasmaviridae
chick_phage_417	Salasmaviridae
chick_phage_418	Rountreeviridae
chick_phage_419	Salasmaviridae
chick_phage_420	Salasmaviridae
chick_phage_421	Rountreeviridae
chick_phage_422	Salasmaviridae
chick_phage_423	Salasmaviridae
chick_phage_424	Peduoviridae
chick_phage_425	Straboviridae
chick_phage_426	Rountreeviridae
chick_phage_427	Salasmaviridae
chick_phage_428	Salasmaviridae
chick_phage_429	Salasmaviridae
chick_phage_430	Salasmaviridae
chick_phage_431	Salasmaviridae
chick_phage_432	Unknown
chick_phage_433	Rountreeviridae
chick_phage_434	Salasmaviridae
chick_phage_435	Salasmaviridae
chick_phage_436	Siphoviridae
chick_phage_437	Siphoviridae
chick_phage_438	Salasmaviridae
chick_phage_439	Salasmaviridae
chick_phage_440	Rountreeviridae
chick_phage_441	Salasmaviridae
chick_phage_442	Straboviridae
chick_phage_443	Unknown
chick_phage_444	Straboviridae
chick_phage_445	Salasmaviridae
chick_phage_446	Siphoviridae
chick_phage_447	Salasmaviridae
chick_phage_448	Salasmaviridae
chick_phage_449	Salasmaviridae
chick_phage_450	Unknown
chick_phage_451	Salasmaviridae
chick_phage_452	Salasmaviridae
chick_phage_453	Siphoviridae
chick_phage_454	Myoviridae
chick_phage_455	Rountreeviridae
chick_phage_456	Salasmaviridae
chick_phage_457	Salasmaviridae
chick_phage_458	Straboviridae
chick_phage_459	Straboviridae
chick_phage_460	Salasmaviridae
chick_phage_461	Salasmaviridae
chick_phage_462	Guelinviridae
chick_phage_463	Siphoviridae
chick_phage_464	Orlajensenviridae
chick_phage_465	Rountreeviridae
chick_phage_466	Salasmaviridae
chick_phage_467	Salasmaviridae
chick_phage_468	Salasmaviridae
chick_phage_469	Salasmaviridae
chick_phage_470	Salasmaviridae
chick_phage_471	Salasmaviridae
chick_phage_472	Salasmaviridae
chick_phage_473	Salasmaviridae
chick_phage_474	Myoviridae
chick_phage_475	Rountreeviridae
chick_phage_476	Casjensviridae
chick_phage_477	Siphoviridae
chick_phage_478	Salasmaviridae
chick_phage_479	Salasmaviridae
chick_phage_480	Siphoviridae
chick_phage_481	Salasmaviridae
chick_phage_482	Salasmaviridae
chick_phage_483	Podoviridae
chick_phage_484	Salasmaviridae
chick_phage_485	Guelinviridae
chick_phage_486	Guelinviridae
chick_phage_487	Salasmaviridae
chick_phage_488	Salasmaviridae
chick_phage_489	Salasmaviridae
chick_phage_490	Salasmaviridae
chick_phage_491	Salasmaviridae
chick_phage_492	Salasmaviridae
chick_phage_493	Orlajensenviridae
chick_phage_494	Peduoviridae
chick_phage_495	Salasmaviridae
chick_phage_496	Salasmaviridae
chick_phage_497	Salasmaviridae
chick_phage_498	Salasmaviridae
chick_phage_499	Salasmaviridae
chick_phage_500	Siphoviridae
chick_phage_501	Salasmaviridae
chick_phage_502	Salasmaviridae
chick_phage_503	Salasmaviridae
chick_phage_504	Salasmaviridae
chick_phage_505	Salasmaviridae
chick_phage_506	Guelinviridae
chick_phage_507	Salasmaviridae
chick_phage_508	Salasmaviridae
chick_phage_509	Salasmaviridae
chick_phage_510	Salasmaviridae
chick_phage_511	Salasmaviridae
chick_phage_512	Salasmaviridae
chick_phage_513	Salasmaviridae
chick_phage_514	Salasmaviridae
chick_phage_515	Rountreeviridae
chick_phage_516	Salasmaviridae
chick_phage_517	Rountreeviridae
chick_phage_518	Salasmaviridae
chick_phage_519	Rountreeviridae
chick_phage_520	Rountreeviridae
chick_phage_521	Salasmaviridae
chick_phage_522	Salasmaviridae
chick_phage_523	Salasmaviridae
chick_phage_524	Podoviridae
chick_phage_525	Salasmaviridae
chick_phage_526	Unknown
chick_phage_527	Siphoviridae
chick_phage_528	Salasmaviridae
chick_phage_529	Salasmaviridae
chick_phage_530	Salasmaviridae
chick_phage_531	Rountreeviridae
chick_phage_532	Salasmaviridae
chick_phage_533	Salasmaviridae
chick_phage_534	Rountreeviridae
chick_phage_535	Rountreeviridae
chick_phage_536	Rountreeviridae
chick_phage_537	Rountreeviridae
chick_phage_538	Salasmaviridae
chick_phage_539	Casjensviridae
chick_phage_540	Salasmaviridae
chick_phage_541	Rountreeviridae
chick_phage_542	Salasmaviridae
chick_phage_543	Salasmaviridae
chick_phage_544	Salasmaviridae
chick_phage_545	Salasmaviridae
chick_phage_546	Rountreeviridae
chick_phage_547	Rountreeviridae
chick_phage_548	Rountreeviridae
chick_phage_549	Salasmaviridae
chick_phage_550	Salasmaviridae
chick_phage_551	Rountreeviridae
chick_phage_552	Salasmaviridae
chick_phage_553	Salasmaviridae
chick_phage_554	Mesyanzhinovviridae
chick_phage_555	Salasmaviridae
chick_phage_556	Salasmaviridae
chick_phage_557	Peduoviridae
chick_phage_558	Siphoviridae
chick_phage_559	Siphoviridae
chick_phage_560	Casjensviridae
chick_phage_561	Mesyanzhinovviridae
chick_phage_562	Peduoviridae
chick_phage_563	Podoviridae
chick_phage_564	Rountreeviridae
chick_phage_565	Rountreeviridae
chick_phage_566	Salasmaviridae
chick_phage_567	Peduoviridae
chick_phage_568	Salasmaviridae
chick_phage_569	Salasmaviridae
chick_phage_570	Salasmaviridae
chick_phage_571	Salasmaviridae
chick_phage_572	Rountreeviridae
chick_phage_573	Salasmaviridae
chick_phage_574	Rountreeviridae
chick_phage_575	Salasmaviridae
chick_phage_576	Unknown
chick_phage_577	Salasmaviridae
chick_phage_578	Salasmaviridae
chick_phage_579	Salasmaviridae
chick_phage_580	Salasmaviridae
chick_phage_581	Unknown
chick_phage_582	Unknown
chick_phage_583	Siphoviridae
chick_phage_584	Siphoviridae
chick_phage_585	Podoviridae
chick_phage_586	Siphoviridae
chick_phage_587	Salasmaviridae
chick_phage_588	Salasmaviridae
chick_phage_589	Salasmaviridae
chick_phage_590	Salasmaviridae
chick_phage_591	Salasmaviridae
chick_phage_592	Salasmaviridae
chick_phage_593	Salasmaviridae
chick_phage_594	Salasmaviridae
chick_phage_595	Rountreeviridae
chick_phage_596	Rountreeviridae
chick_phage_597	Salasmaviridae
chick_phage_598	Rountreeviridae
chick_phage_599	Unknown
chick_phage_600	Salasmaviridae
chick_phage_601	Peduoviridae
chick_phage_602	Casjensviridae
chick_phage_603	Salasmaviridae
chick_phage_604	Salasmaviridae
chick_phage_605	Salasmaviridae
chick_phage_606	Salasmaviridae
chick_phage_607	Salasmaviridae
chick_phage_608	Rountreeviridae
chick_phage_609	Rountreeviridae
chick_phage_610	Salasmaviridae
chick_phage_611	Rountreeviridae
chick_phage_612	Rountreeviridae
chick_phage_613	Rountreeviridae
chick_phage_614	Salasmaviridae
chick_phage_615	Rountreeviridae
chick_phage_616	Peduoviridae
chick_phage_617	Salasmaviridae
chick_phage_618	Orlajensenviridae
chick_phage_619	Salasmaviridae
chick_phage_620	Salasmaviridae
chick_phage_621	Herelleviridae
chick_phage_622	Rountreeviridae
chick_phage_623	Salasmaviridae
chick_phage_624	Rountreeviridae
chick_phage_625	Rountreeviridae
chick_phage_626	Peduoviridae
chick_phage_627	Casjensviridae
chick_phage_628	Rountreeviridae
chick_phage_629	Unknown
chick_phage_630	Unknown
chick_phage_631	Salasmaviridae
chick_phage_632	Rountreeviridae
chick_phage_633	Salasmaviridae
chick_phage_634	Rountreeviridae
chick_phage_635	Salasmaviridae
chick_phage_636	Salasmaviridae
chick_phage_637	Siphoviridae
chick_phage_638	Salasmaviridae
chick_phage_639	Salasmaviridae
chick_phage_640	Salasmaviridae
chick_phage_641	Salasmaviridae
chick_phage_642	Salasmaviridae
chick_phage_643	Rountreeviridae
chick_phage_644	Salasmaviridae
chick_phage_645	Salasmaviridae
chick_phage_646	Salasmaviridae
chick_phage_647	Salasmaviridae
chick_phage_648	Unknown
chick_phage_649	Salasmaviridae
chick_phage_650	Casjensviridae
chick_phage_651	Salasmaviridae
chick_phage_652	Rountreeviridae
chick_phage_653	Salasmaviridae
chick_phage_654	Rountreeviridae
chick_phage_655	Salasmaviridae
chick_phage_656	Salasmaviridae
chick_phage_657	Salasmaviridae
chick_phage_658	Salasmaviridae
chick_phage_659	Salasmaviridae
chick_phage_660	Podoviridae
chick_phage_661	Rountreeviridae
chick_phage_662	Salasmaviridae
chick_phage_663	Siphoviridae
chick_phage_664	Rountreeviridae
chick_phage_665	Salasmaviridae
chick_phage_666	Rountreeviridae
chick_phage_667	Orlajensenviridae
chick_phage_668	Unknown
chick_phage_669	Unknown
chick_phage_670	Casjensviridae
chick_phage_671	Salasmaviridae
chick_phage_672	Salasmaviridae
chick_phage_673	Salasmaviridae
chick_phage_674	Rountreeviridae
chick_phage_675	Rountreeviridae
chick_phage_676	Salasmaviridae
chick_phage_677	Salasmaviridae
chick_phage_678	Rountreeviridae
chick_phage_679	Salasmaviridae
chick_phage_680	Rountreeviridae
chick_phage_681	Salasmaviridae
chick_phage_682	Salasmaviridae
chick_phage_683	Guelinviridae
chick_phage_684	Salasmaviridae
chick_phage_685	Salasmaviridae
